category,title,upc,price_incl_tax,price_excl_tax,tax,rating,availability,stock_count,num_reviews,product_url,image_url,image_status,image_path,image_bytes
Fiction,Soumission,6957f44c3847a760,50.1,50.1,0.0,1,In stock (20 available),20,0,https://books.toscrape.com/catalogue/soumission_998/index.html,https://books.toscrape.com/media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg,skipped,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task1\images\fiction\soumission_70c6fe4e.jpg,9403
Fiction,Private Paris (Private #10),b12b89017878a60d,47.61,47.61,0.0,5,In stock (17 available),17,0,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,https://books.toscrape.com/media/cache/05/87/0587ab519222a61f803fa4570c325ad2.jpg,skipped,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task1\images\fiction\private-paris-private-10_97b69382.jpg,52641
Fiction,"We Love You, Charlie Freeman",8d455c7539795d2a,50.27,50.27,0.0,5,In stock (16 available),16,0,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,https://books.toscrape.com/media/cache/87/a2/87a2fddd7f6b240c0351e1eb950b6716.jpg,skipped,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task1\images\fiction\we-love-you-charlie-freeman_e4c6ebb6.jpg,59898
Fiction,Thirst,709822d0b5bcb7f4,17.27,17.27,0.0,5,In stock (16 available),16,0,https://books.toscrape.com/catalogue/thirst_946/index.html,https://books.toscrape.com/media/cache/8c/54/8c54a50576c204b80165a13545f73028.jpg,skipped,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task1\images\fiction\thirst_3c13f4bc.jpg,15360
Fiction,The Murder That Never Was (Forensic Instincts #5),d01ac97e2b8947c2,54.11,54.11,0.0,3,In stock (16 available),16,0,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,https://books.toscrape.com/media/cache/29/e0/29e036acd8a6e3daa787ce2bc05bdbbb.jpg,skipped,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task1\images\fiction\the-murder-that-never-was-forensic-instincts-5_e3635b8a.jpg,24470
Fiction,Tuesday Nights in 1980,b8736690cf263a3c,21.04,21.04,0.0,2,In stock (15 available),15,0,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html,https://books.toscrape.com/media/cache/a3/ad/a3ade5edecde67449329c1ebb016c049.jpg,skipped,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task1\images\fiction\tuesday-nights-in-1980_22a9a029.jpg,52235
Fiction,The Vacationers,fd3a622648667296,42.15,42.15,0.0,4,In stock (15 available),15,0,https://books.toscrape.com/catalogue/the-vacationers_863/index.html,https://books.toscrape.com/media/cache/34/c9/34c988a76c3cd7c04566d3030d8e7331.jpg,skipped,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task1\images\fiction\the-vacationers_909eb1b7.jpg,38153
Fiction,The Regional Office Is Under Attack!,0651062381f0636a,51.36,51.36,0.0,5,In stock (15 available),15,0,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html,https://books.toscrape.com/media/cache/d4/73/d473f01f077b91ce04e345305a3fa217.jpg,skipped,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task1\images\fiction\the-regional-office-is-under-attack_bf03bde8.jpg,57660
Fiction,Finders Keepers (Bill Hodges Trilogy #2),edb3097e71330040,53.53,53.53,0.0,5,In stock (15 available),15,0,https://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html,https://books.toscrape.com/media/cache/76/80/76804e1881b630a110794fef5aad02cf.jpg,skipped,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task1\images\fiction\finders-keepers-bill-hodges-trilogy-2_cfee21f2.jpg,57806
Fiction,The Time Keeper,e9906e2f0d189745,27.88,27.88,0.0,5,In stock (14 available),14,0,https://books.toscrape.com/catalogue/the-time-keeper_766/index.html,https://books.toscrape.com/media/cache/37/d1/37d108ff5b19028a52ddd73dba35d543.jpg,skipped,C:\Users\anton\Desktop\Web-Crawling\image_crawler\output\task1\images\fiction\the-time-keeper_58832195.jpg,65861
